コード,企業名,市場区分,年度,売上高（億円）,営業利益（億円）,経常利益（億円）,純利益（億円）,EPS,ROE,ROA
5695,パウダーテック,スタンダード（内国株式）,2025/03,91,3,4,3,109.61,2.49,2.01
5571,エキサイトホールディングス,スタンダード（内国株式）,2025/03,91,5,4,2,37.78,5.26,1.78
6864,エヌエフホールディングス,スタンダード（内国株式）,2025/03,91,5,6,5,64.21,3.59,2.6
4429,リックソフト,グロース（内国株式）,2025/02,90,5,5,4,78.52,11.72,5.32
7140,ペットゴー,グロース（内国株式）,2025/03,90,2,2,1,68.68,10.44,3.87
4174,アピリッツ,スタンダード（内国株式）,2025/01,90,2,2,0,11.2,1.98,0.8
7219,エッチ・ケー・エス,スタンダード（内国株式）,2024/08,90,4,5,3,245.77,3.37,2.61
147A,ソラコム,グロース（内国株式）,2025/03,90,7,6,4,7.82,3.5,2.63
7957,フジコピアン,スタンダード（内国株式）,2024/12,90,0,1,4,259.86,3.76,2.42
3359,ｃｏｔｔａ,グロース（内国株式）,2024/09,90,5,5,3,31.96,8.2,5.34
1795,マサル,スタンダード（内国株式）,2024/09,89,4,4,3,313.54,5.62,3.31
4361,川口化学工業,スタンダード（内国株式）,2024/11,89,4,4,3,276.21,11.67,3.94
2666,オートウェーブ,スタンダード（内国株式）,2025/03,89,3,4,3,18.55,6.47,3.56
7877,永大化工,スタンダード（内国株式）,2025/03,89,3,3,2,141.13,2.57,1.88
3928,マイネット,スタンダード（内国株式）,2024/12,88,4,4,2,29.1,17.61,5.07
4664,アール・エス・シー,スタンダード（内国株式）,2025/03,88,3,3,2,64.97,8.59,4.49
4926,シーボン,スタンダード（内国株式）,2025/03,88,2,2,1,31.83,2.39,1.6
1997,暁飯島工業,スタンダード（内国株式）,2024/08,88,8,8,6,275.74,8.21,5.43
1783,ｆａｎｔａｓｉｓｔａ,スタンダード（内国株式）,2024/09,88,7,7,3,1.71,4.39,2.04
4437,ｇｏｏｄｄａｙｓホールディングス,グロース（内国株式）,2025/03,88,6,6,3,49.69,11.13,6.1
3441,山王,スタンダード（内国株式）,2024/07,88,2,4,3,68.41,4.87,2.59
4417,グローバルセキュリティエキスパート,グロース（内国株式）,2025/03,88,16,16,10,67.23,32.8,12.41
6138,ダイジェット工業,スタンダード（内国株式）,2025/03,88,2,2,2,69.13,2.59,1.29
4386,ＳＩＧグループ,スタンダード（内国株式）,2025/03,88,6,7,5,84.63,19.58,8.25
6131,浜井産業,スタンダード（内国株式）,2024/03,88,9,9,7,216.13,21.75,6.86
4430,東海ソフト,スタンダード（内国株式）,2024/05,87,10,10,7,154.43,13.88,8.77
2186,ソーバル,スタンダード（内国株式）,2025/02,87,6,6,4,54.91,9.99,7.6
9363,大運,スタンダード（内国株式）,2025/03,87,2,3,3,51.75,7.76,4.95
5133,テリロジーホールディングス,スタンダード（内国株式）,2025/03,87,3,3,2,10.48,6.24,2.48
4935,リベルタ,スタンダード（内国株式）,2024/12,86,1,1,0,-3.55,,
5103,昭和ホールディングス,スタンダード（内国株式）,2025/03,86,0,-3,-2,-2.69,,
7039,ブリッジインターナショナル,グロース（内国株式）,2024/12,86,10,10,7,182.52,15.14,11.05
7800,アミファ,スタンダード（内国株式）,2024/09,86,-3,-3,-3,-94.2,,
7831,ウイルコホールディングス,スタンダード（内国株式）,2024/10,86,-2,-2,-4,-17.72,,
6194,アトラエ,プライム（内国株式）,2024/09,86,15,15,7,29.09,15.76,10.16
7849,スターツ出版,スタンダード（内国株式）,2024/12,86,23,24,18,475.72,18.7,15.25
8769,アドバンテッジリスクマネジメント,スタンダード（内国株式）,2025/03,86,10,10,7,46.1,19.03,8.53
5870,ナルネットコミュニケーションズ,グロース（内国株式）,2025/03,85,4,4,2,44.64,6.94,2.4
8225,タカチホ,スタンダード（内国株式）,2025/03,85,4,4,3,477.76,13.69,7.2
6542,ＦＣホールディングス,スタンダード（内国株式）,2024/06,85,11,11,7,104.82,8.91,7.22
352A,ＬＩＦＥ　ＣＲＥＡＴＥ,グロース（内国株式）,2025/03,85,10,9,5,40.55,30.55,6.34
6384,昭和真空,スタンダード（内国株式）,2025/03,85,8,8,6,91.02,4.84,3.63
4932,アルマード,スタンダード（内国株式）,2025/03,85,9,9,6,70.38,34.69,13.77
4448,ｋｕｂｅｌｌ,グロース（内国株式）,2024/12,85,1,1,-12,-28.59,,
9419,ワイヤレスゲート,スタンダード（内国株式）,2024/12,85,3,3,3,26.24,21.61,9.49
9986,蔵王産業,スタンダード（内国株式）,2025/03,84,9,9,6,113.41,4.78,4.17
5962,浅香工業,スタンダード（内国株式）,2025/03,84,3,3,2,236.31,5.38,3.32
5966,京都機械工具,スタンダード（内国株式）,2024/03,84,9,10,6,264.44,5.19,3.89
9073,京極運輸商事,スタンダード（内国株式）,2025/03,84,0,1,1,35.38,2.46,1.27
6521,オキサイド,グロース（内国株式）,2025/02,84,1,2,-27,-243.85,,
3566,ユニフォームネクスト,グロース（内国株式）,2024/12,84,4,5,3,32.49,9.68,6.57
7374,コンフィデンス・インターワークス,グロース（内国株式）,2025/03,84,13,13,10,167.91,17.99,15.71
6074,ジェイエスエス,スタンダード（内国株式）,2025/03,84,3,3,2,49.45,6.38,2.55
9704,アゴーラ　ホスピタリティー　グループ,スタンダード（内国株式）,2024/12,84,5,2,1,0.43,2.91,0.52
6078,バリューＨＲ,プライム（内国株式）,2024/12,84,11,12,8,29.61,11.87,4.43
9264,ポエック,スタンダード（内国株式）,2024/08,84,6,4,2,42.34,4.76,1.72
8945,サンネクスタグループ,スタンダード（内国株式）,2024/06,84,7,7,18,194.46,22.97,16.3
4475,ＨＥＮＮＧＥ,グロース（内国株式）,2024/09,84,10,10,8,25.67,28.23,9.99
6942,ソフィアホールディングス,スタンダード（内国株式）,2025/03,84,3,,1,20.79,3.15,1.28
6042,ニッキ,スタンダード（内国株式）,2025/03,84,9,6,6,339.29,4.84,2.7
7678,あさくま,スタンダード（内国株式）,2025/01,84,2,2,6,106.89,18.5,13.04
9087,タカセ,スタンダード（内国株式）,2025/03,83,1,1,2,77.13,2.11,1.63
7928,旭化学工業,スタンダード（内国株式）,2024/08,83,0,2,1,29.98,1.69,1.35
4752,昭和システムエンジニアリング,スタンダード（内国株式）,2025/03,83,9,10,7,165.1,13.36,8.23
3656,ＫＬａｂ,プライム（内国株式）,2024/12,83,-13,-13,-28,-62.91,,
5892,ｙｕｔｏｒｉ,グロース（内国株式）,2025/03,83,7,6,3,66.85,32.48,4.78
5928,アルメタックス,スタンダード（内国株式）,2025/03,83,-2,-1,0,2.59,0.29,0.24
3317,フライングガーデン,スタンダード（内国株式）,2025/03,83,6,6,4,243.57,10.8,7.31
6400,不二精機,スタンダード（内国株式）,2024/12,83,4,3,1,17.19,3.96,1.48
6040,日本スキー場開発,グロース（内国株式）,2024/07,82,16,16,11,24.01,16.39,9.95
3161,アゼアス,スタンダード（内国株式）,2024/04,82,3,3,2,33.04,2.79,2.2
9950,ハチバン,スタンダード（内国株式）,2025/03,82,3,5,2,80.49,6.43,4.25
3663,セルシス,プライム（内国株式）,2024/12,82,21,23,14,44.27,26.17,16.6
6387,サムコ,プライム（内国株式）,2024/07,82,20,21,15,183.26,11.97,9.13
7367,セルム,スタンダード（内国株式）,2025/03,82,11,10,6,25.18,20.55,7.59
3965,キャピタル・アセット・プランニング,スタンダード（内国株式）,2024/09,82,3,3,2,27.35,4.87,2.77
6568,神戸天然物化学,グロース（内国株式）,2025/03,82,8,9,7,95.38,5.45,3.66
6492,岡野バルブ製造,スタンダード（内国株式）,2024/11,82,12,13,11,688.48,9.86,7.76
8118,キング,スタンダード（内国株式）,2025/03,82,9,10,7,45.86,3.26,2.85
4624,イサム塗料,スタンダード（内国株式）,2025/03,82,6,8,5,288.0,3.19,2.63
4492,ゼネテック,スタンダード（内国株式）,2025/03,81,7,7,4,36.81,17.52,5.89
7057,エヌ・シー・エヌ,スタンダード（内国株式）,2025/03,81,2,3,2,64.95,9.39,3.34
2148,アイティメディア,プライム（内国株式）,2025/03,81,20,,15,77.16,15.95,13.6
9647,協和コンサルタンツ,スタンダード（内国株式）,2024/11,81,8,8,5,876.87,13.45,6.91
2911,旭松食品,スタンダード（内国株式）,2025/03,80,2,3,2,128.89,2.91,2.33
3922,ＰＲ　ＴＩＭＥＳ,プライム（内国株式）,2025/02,80,19,19,11,83.17,16.38,13.58
3925,ダブルスタンダード,プライム（内国株式）,2025/03,80,26,26,18,131.85,27.92,23.68
3687,フィックスターズ,プライム（内国株式）,2024/09,80,23,23,15,46.39,22.21,17.12
8706,極東証券,プライム（内国株式）,2025/03,80,27,35,44,139.37,8.61,5.66
4074,ラキール,グロース（内国株式）,2024/12,80,6,5,4,47.25,10.14,6.04
5724,アサカ理研,スタンダード（内国株式）,2024/09,80,3,3,4,74.16,8.06,4.35
1380,秋川牧園,スタンダード（内国株式）,2025/03,80,0,1,0,6.76,1.29,0.4
4414,フレクト,グロース（内国株式）,2025/03,79,11,11,7,118.68,26.45,17.15
5532,リアルゲイト,グロース（内国株式）,2024/09,79,8,6,4,67.84,14.13,2.39
9904,ベリテ,スタンダード（内国株式）,2025/03,79,9,9,6,20.97,12.74,7.53
6757,ＯＳＧコーポレーション,スタンダード（内国株式）,2025/01,79,1,1,0,6.51,1.32,0.53
7325,アイリックコーポレーション,グロース（内国株式）,2024/06,79,5,5,4,42.43,9.68,6.78
3948,光ビジネスフォーム,スタンダード（内国株式）,2024/12,79,2,2,2,28.87,1.73,1.45
2122,インタースペース,スタンダード（内国株式）,2024/09,79,6,5,1,9.48,1.06,0.53
4491,コンピューターマネージメント,スタンダード（内国株式）,2025/03,79,5,5,4,194.99,11.09,7.73
3983,オロ,プライム（内国株式）,2024/12,79,27,,21,128.56,20.16,15.25
5939,大谷工業,スタンダード（内国株式）,2025/03,79,5,5,4,473.58,9.05,4.88
6161,エスティック,スタンダード（内国株式）,2025/03,79,16,17,12,118.65,11.38,9.8
8798,アドバンスクリエイト,プライム（内国株式）,2024/09,79,-7,-8,-23,-102.26,,
6342,太平製作所,スタンダード（内国株式）,2025/03,79,9,10,6,412.67,8.36,5.55
9927,ワットマン,スタンダード（内国株式）,2024/03,79,6,7,5,52.46,14.25,9.29
6022,赤阪鐵工所,スタンダード（内国株式）,2025/03,78,0,1,0,28.43,0.42,0.27
9259,タカヨシホールディングス,グロース（内国株式）,2024/09,78,9,9,5,96.63,19.1,7.01
4356,応用技術,スタンダード（内国株式）,2024/12,78,9,10,7,127.09,13.17,10.18
2687,シー・ヴイ・エス・ベイエリア,スタンダード（内国株式）,2025/02,78,4,4,11,227.51,25.65,9.97
3181,買取王国,スタンダード（内国株式）,2025/02,78,4,5,3,90.0,10.71,6.28
5868,ロココ,スタンダード（内国株式）,2024/12,78,4,4,3,75.06,10.11,6.4
9853,銀座ルノアール,スタンダード（内国株式）,2025/03,78,1,1,-1,-12.52,,
4098,チタン工業,スタンダード（内国株式）,2025/03,78,2,1,2,67.4,3.91,1.43
4512,わかもと製薬,スタンダード（内国株式）,2025/03,78,-5,-4,1,1.84,0.55,0.43
9816,ストライダーズ,スタンダード（内国株式）,2025/03,78,0,1,0,5.32,1.77,0.79
7793,イメージ・マジック,グロース（内国株式）,2024/12,78,4,4,3,110.43,14.31,8.56
7725,インターアクション,プライム（内国株式）,2024/05,78,16,16,11,104.15,10.26,8.3
7815,東京ボード工業,スタンダード（内国株式）,2025/03,77,0,-1,3,113.05,18.96,2.34
4419,Ｆｉｎａｔｅｘｔホールディングス,グロース（内国株式）,2025/03,77,10,9,7,13.0,7.37,3.47
2464,Ａｏｂａ‐ＢＢＴ,スタンダード（内国株式）,2025/03,77,4,5,2,18.42,5.32,3.28
5576,オービーシステム,スタンダード（内国株式）,2025/03,77,6,6,5,210.46,9.48,7.49
9168,ライズ・コンサルティング・グループ,グロース（内国株式）,2025/02,77,20,,14,58.64,22.45,15.41
2411,ゲンダイエージェンシー,スタンダード（内国株式）,2025/03,77,4,4,4,29.11,8.52,6.23
8747,豊トラスティ証券,スタンダード（内国株式）,2025/03,77,21,22,19,343.86,13.88,1.52
7379,サーキュレーション,グロース（内国株式）,2024/07,77,3,3,2,21.18,6.75,5.14
3246,コーセーアールイー,スタンダード（内国株式）,2025/01,76,3,5,3,33.59,3.34,2.0
5162,朝日ラバー,スタンダード（内国株式）,2025/03,76,0,0,-2,-51.74,,
7062,フレアス,グロース（内国株式）,2025/03,76,-1,-2,-2,-103.65,,
5967,ＴＯＮＥ,スタンダード（内国株式）,2024/05,76,11,13,9,42.68,8.83,6.34
7192,日本モーゲージサービス,スタンダード（内国株式）,2025/03,76,14,14,10,66.84,11.2,4.45
6943,ＮＫＫスイッチズ,スタンダード（内国株式）,2025/03,76,-5,-4,-4,-491.03,,
3763,プロシップ,プライム（内国株式）,2025/03,76,23,24,19,156.06,22.1,16.96
6158,和井田製作所,スタンダード（内国株式）,2025/03,76,7,7,4,66.94,4.24,3.45
7477,ムラキ,スタンダード（内国株式）,2025/03,75,1,2,1,63.4,3.34,2.28
3560,ほぼ日,スタンダード（内国株式）,2024/08,75,5,5,4,172.05,8.82,6.15
8772,アサックス,スタンダード（内国株式）,2025/03,75,52,52,34,102.68,6.9,2.86
3989,シェアリングテクノロジー,グロース（内国株式）,2024/09,75,18,,15,64.17,37.72,23.22
9878,セキド,スタンダード（内国株式）,2025/03,75,-3,-3,-5,-267.5,,
6539,ＭＳ－Ｊａｐａｎ,プライム（内国株式）,2025/03,75,16,17,10,41.5,10.67,9.52
336A,ダイナミックマッププラットフォーム,グロース（内国株式）,2025/03,75,-12,-14,-15,-81.78,,
7069,サイバー・バズ,グロース（内国株式）,2024/09,75,-17,-17,-20,-488.27,,
